Subject,Code,Code Description
Science,RST.6-8.9,"Compare and contrast the information gained from experiments, simulations, video, or multimedia sources with that gained from reading a text on the same topic."
Science,RST.6-8.10,"By the end of grade 8, read and comprehend science/technical texts in the grades 6–8 text complexity band independently and proficiently."
Reading,Speaking and Listening Comprehension and Collaboration,SL
Reading,SL.6.1,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 6 topics, texts, and issues, building on others’ ideas and expressing their own clearly."
Reading,SL.6.1a,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation by referring to evidence on the topic, text, or issue to probe and reflect on ideas under discussion."
Reading,SL.6.1b,"Follow rules for collegial discussions, set specific goals and deadlines, and define individual roles as needed."
Reading,SL.6.1c,"Pose and respond to specific questions with elaboration and detail by making comments that contribute to the topic, text, or issue under discussion."
Reading,SL.6.2. ,"Interpret information presented in diverse media and formats (e.g., visually, quantitatively, orally) and explain how it contributes to a topic, text, or issue under study."
Reading,SL.6.3. ,"Delineate a speaker’s argument and specific claims, distinguishing claims that are supported by reasons and evidence from claims that are not."
Reading,Reading Literature,RL
Reading,RL.6.1,Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
Reading,RL.6.2,Determine a theme or central idea of a text and how it is conveyed through particular details; provide a summary of the text distinct from personal opinions or judgments.
Reading,RL.6.3,Describe how a particular story’s or drama’s plot unfolds in a series of episodes as well as how the characters respond or change as the plot moves toward a resolution.
Reading,RL.6.4,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of a specific word choice on meaning and tone."
Reading,RL.6.5,"Analyze how a particular sentence, chapter, scene, or stanza fits into the overall structure of a text and contributes to the development of the theme, setting, or plot."
Reading,RL.6.6,Explain how an author develops the point of view of the narrator or speaker in a text.
Reading,RL.6.7,"Compare and contrast the experience of reading a story, drama, or poem to listening to or viewing an audio, video, or live version of the text, including contrasting what they “see” and “hear” when reading the text to what they perceive when they listen or watch."
Reading,RL.6.9,"Compare and contrast texts in different forms or genres (e.g., stories and poems; historical novels and fantasy stories) in terms of their approaches to similar themes and topics."
Reading,RL.6.10,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range."
Reading,Reading Information,RI
Reading,RI.6.1,Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
Reading,RI.6.2,Determine a central idea of a text and how it is conveyed through particular details; provide a summary of the text distinct from personal opinions or judgments.
Reading,RI.6.3,"Analyze in detail how a key individual, event, or idea is introduced, illustrated, and elaborated in a text (e.g., through examples or anecdotes)."
Reading,RI.6.4,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings."
Reading,RI.6.5,"Analyze how a particular sentence, paragraph, chapter, or section fits into the overall structure of a text and contributes to the development of the ideas."
Reading,RI.6.6,Determine an author’s point of view or purpose in a text and explain how it is conveyed in the text.
Reading,RI.6.7,"Integrate information presented in different media or formats ((e.g., visually, quantitatively) as well as in words to develop a coherent understanding of a topic or issue."
Reading,RI.6.8,"Trace and evaluate the argument and specific claims in a text, distinguishing claims that are supported by reasons and evidence from claims that are not."
Reading,RI.6.9,"Compare and contrast one author’s presentation of events with that of another (e.g., a memoir written by and a biography on the same person)."
Reading,RI.6.10,"By the end of the year, read and comprehend literary nonfiction in the grades 6–8 text complexity band proficiently, with scaffolding as needed at the high end of the range."
Reading,L.6.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 6 reading and content, choosing flexibly from a range of strategies; Use context (e.g., the overall meaning of a sentence or paragraph; a word’s position or function in a sentence) as a clue to the meaning of a word or phrase; Use common, grade-appropriate Greek or Latin affixes ad roots as clues to the meaning of a word (e.g., audience, auditory, audible); Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning or its part of speech; Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary)."
Reading,L.6.5,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings; Interpret figures of speech (e.g., personification) in context; Use the relationship between particular words (e.g., cause/effect, part/whole, item/category) to better understand each of the words; Distinguish among the connotations (associations) of words with similar denotations (definitions) (e.g., stingy, scrimping, economical, unwasteful, thrifty)."
Reading,L.6.6,Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; gather vocabulary knowledge when considering a word or phrase important to comprehension or expression.
Writing,Language,L
Writing,L.6.1. ,"L.6.1. Demonstrate command of the conventions of standard English grammar and usage when writing or speaking; Ensure that pronouns are in the proper case (subjective, objective, possessive); Use intensive pronouns (e.g., myself, ourselves); Recognize and correct inappropriate shifts in pronoun number and person; Recognize and correct vague pronouns (i.e., ones with unclear or ambiguous antecedents); Recognize variations from standard English in their own and others' writing and speaking, and identify and use strategies to improve expression in conventional language; Ensure that pronouns are in the proper case (subjective, objective, possessive)."
Writing,L.6.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing; Use punctuation (commas, parentheses, dashes) to set off nonrestrictive/parenthetical elements; Spell correctly."
Writing,L.6.3,"Use knowledge of language and its conventions when writing, speaking, reading, or listening; Vary sentence patterns for meaning, reader/listener interest, and style; Maintain consistency in style and tone"
Writing,W.6.1,Write arguments to support claims with clear reasons and relevant evidence.
Writing,W.6.1a,Introduce claim(s) and organize the reasons and evidence clearly.
Writing,W.6.1b,"Support claim(s) with clear reasons and relevant evidence, using credible sources and demonstrating an understanding of the topic or text."
Writing,W.6.1c,"Use words, phrases, and clauses to clarify the relationships among claim(s) and reasons."
Writing,W.6.1d,Establish and maintain a formal style.
Writing,W.6.1e,Provide a concluding statement or section that follows from the argument presented.
Writing,W.6.2,"Write informative/explanatory texts to examine a topic and convey ideas, concepts, and information through the selection, organization, and analysis of relevant content."
Writing,W.6.2a,"Introduce a topic; organize ideas, concepts, and information, using strategies such as definition, classification, comparison/contrast, and cause/effect; include formatting (e.g., headings), graphics (e.g., charts, tables), and multimedia when useful to aiding comprehension."
Writing,W.6.2b,"Develop the topic with relevant facts, definitions, concrete details, quotations, or other information and examples."
Writing,W.6.2c,Use appropriate transitions to clarify the relationships among ideas and concepts.
Writing,W.6.2d,Use precise language and domain-specific vocabulary to inform about or explain the topic.
Writing,W.6.2e,Establish and maintain a formal style.
Writing,W.6.2f,Provide a concluding statement or section that follows from the information or explanation presented.
Writing,W.6.4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1–3 above.)"
Writing,W.6.5,"With some guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach."
Writing,W.6.6,"Use technology, including the Internet, to produce and publish writing as well as to interact and collaborate with others; demonstrate sufficient command of keyboarding skills to type a minimum of three pages in a single sitting."
Writing,W.6.7,"Conduct short research projects to answer a question, drawing on several sources and refocusing the inquiry when appropriate."
Writing,W.6.8,Gather relevant information from multiple print and digital sources; assess the credibility of each source; and quote or paraphrase the data and conclusions of others while avoiding plagiarism and providing basic bibliographic information for sources.
Writing,W.6.9,"Draw evidence from literary or informational texts to support analysis, reflection, and research."
Writing,W.6.10,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences."
Social Studies,WHST.6-8.1,Write arguments focused on discipline-specific content.
Social Studies,WHST.6-8.1a,"Introduce claim(s) about a topic or issue, acknowledge and distinguish the claim(s) from alternate or opposing claims, and organize the reasons and evidence logically."
Social Studies,WHST.6-8.1b,"Support claim(s) with logical reasoning and relevant, accurate data and evidence that demonstrate an understanding of the topic or text, using credible sources."
Social Studies,WHST.6-8.1c,"Use words, phrases, and clauses to create cohesion and clarify the relationships among claim(s), counterclaims, reasons, and evidence."
Social Studies,WHST.6-8.1d,Establish and maintain a formal style.
Social Studies,WHST.6-8.1e,Provide a concluding statement or section that follows from and supports the argument presented.
Social Studies,WHST.6-8.2,"Write informative/explanatory texts, including the narration of historical events, scientific procedures/ experiments, or technical processes."
Social Studies,WHST.6-8.2a,"Introduce a topic clearly, previewing what is to follow; organize ideas, concepts, and information into broader categories as appropriate to achieving purpose; include formatting (e.g., headings), graphics (e.g., charts, tables), and multimedia when useful to aiding comprehension."
Social Studies,WHST.6-8.2b,"Develop the topic with relevant, well-chosen facts, definitions, concrete details, quotations, or other information and examples."
Social Studies,WHST.6-8.2c,Use appropriate and varied transitions to create cohesion and clarify the relationships among ideas and concepts.
Social Studies,WHST.6-8.2d,Use precise language and domain-specific vocabulary to inform about or explain the topic.
Social Studies,WHST.6-8.2e,Establish and maintain a formal style and objective tone.
Social Studies,WHST.6-8.2f,Provide a concluding statement or section that follows from and supports the information or explanation presented.
Social Studies,WHST.6-8.4,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience."
Social Studies,WHST.6-8.5,"With some guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on how well purpose and audience have been addressed."
Social Studies,WHST.6-8.6,"Use technology, including the Internet, to produce and publish writing and present the relationships between information and ideas clearly and efficiently."
Social Studies,WHST.6-8.7,"Conduct short research projects to answer a question (including a self-generated question), drawing on several sources and generating additional related, focused questions that allow for multiple avenues of exploration."
Social Studies,WHST.6-8.8,"Gather relevant information from multiple print and digital sources, using search terms effectively; assess the credibility and accuracy of each source; and quote or paraphrase the data and conclusions of others while avoiding plagiarism and following a standard format for citation."
Social Studies,WHST.6-8.9,"Draw evidence from informational texts to support analysis reflection, and research."
Social Studies,WHST.6-8.10,"Write routinely over extended time frames (time for reflection and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences."
Social Studies,RH.6-8.1,Cite specific textual evidence to support analysis of primary and secondary sources.
Social Studies,RH.6-8.2,Determine the central ideas or information of a primary or secondary source; provide an accurate summary of the source distinct from prior knowledge or opinions.
Social Studies,RH.6-8.3,"Identify key steps in a text’s description of a process related to history/social studies (e.g., how a bill becomes law, how interest rates are raised or lowered)."
Social Studies,RH.6-8.4,"Determine the meaning of words and phrases as they are used in a text, including vocabulary specific to domains related to history/social studies."
Social Studies,RH.6-8.5. ,"Describe how a text presents information (e.g., sequentially, comparatively, causally)."
Social Studies,RH.6-8.6. ,"Identify aspects of a text that reveal an author’s point of view or purpose (e.g., loaded language, inclusion or avoidance of particular facts)."
Social Studies,RH.6-8.7,"Integrate visual information (e.g., in charts, graphs, photographs, videos, or maps) with other information in print and digital texts."
Social Studies,RH.6-8.8,"Distinguish among fact, opinion, and reasoned judgment in a text."
Social Studies,RH.6-8.9, Analyze the relationship between a primary and secondary source on the same topic.
Social Studies,RH.6-8.10,"By the end of grade 8, read and comprehend history/social studies texts in the grades 6–8 text complexity band independently and proficiently."
